n_nodes,elapsed
1,9.226799011230469e-05
1,6.031990051269531e-05
1,3.814697265625e-06
1,2.1457672119140625e-06
1,5.340576171875e-05
1,9.584426879882812e-05
1,2.2411346435546875e-05
1,4.982948303222656e-05
1,3.337860107421875e-06
1,7.009506225585938e-05
10,0.00029754638671875
10,0.0001804828643798828
10,0.00010156631469726562
10,0.00016379356384277344
10,0.00014638900756835938
10,0.00024390220642089844
10,0.00014734268188476562
10,0.00017976760864257812
10,0.00016880035400390625
10,0.000194549560546875
100,0.0026443004608154297
100,0.002418041229248047
100,0.002188444137573242
100,0.0022935867309570312
100,0.0018470287322998047
100,0.001875162124633789
100,0.0018231868743896484
100,0.0016906261444091797
100,0.0022153854370117188
100,0.0017104148864746094
1000,0.02022719383239746
1000,0.021150588989257812
1000,0.02274322509765625
1000,0.02299976348876953
1000,0.019268512725830078
1000,0.018958330154418945
1000,0.019353628158569336
1000,0.020477771759033203
1000,0.018393993377685547
1000,0.01672530174255371
10000,0.1770613193511963
10000,0.17374777793884277
10000,0.22226977348327637
10000,0.17644405364990234
10000,0.18374300003051758
10000,0.1776266098022461
10000,0.17983460426330566
10000,0.1747288703918457
10000,0.17138671875
10000,0.21128034591674805
100000,1.8351521492004395
100000,1.8568048477172852
100000,1.8749170303344727
100000,1.836620569229126
100000,1.9897711277008057
100000,1.8410446643829346
100000,1.7762703895568848
100000,1.9206805229187012
100000,1.8023669719696045
100000,1.9205834865570068
1000000,19.176767587661743
1000000,18.77336049079895
1000000,18.361119031906128
1000000,18.2688627243042
1000000,18.35030746459961
1000000,18.52348804473877
1000000,18.389357089996338
1000000,18.546642065048218
1000000,18.59916853904724
1000000,18.44053053855896
10000000,184.5880253314972
10000000,183.6324963569641
10000000,181.91668343544006
10000000,183.84732913970947
10000000,188.2736268043518
10000000,184.29426050186157
10000000,183.55064153671265
10000000,184.6858515739441
10000000,184.1728937625885
10000000,184.6274893283844
